DeviceTag: Xsens DOT13,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 1,StartTime: 2026-05-07 16:42:19.488,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
32458144,0.0063,0.0078,0.0058,0.5728,0.0062,-0.0057,0.8197,-0.1259,-0.9566,110.1085,0.0152,-0.0066,-0.3028
32458310,-0.3128,-0.3305,-0.2243,0.5724,0.0061,-0.0058,0.8199,-0.1423,-0.9514,110.1653,0.0145,-0.0054,-0.2957
32458477,-0.3449,-0.3983,-0.2683,0.5722,0.0059,-0.0059,0.8200,-0.1639,-0.9441,110.1851,0.0130,0.0054,-0.2901
32458644,-0.3602,-0.3102,-0.3081,0.5721,0.0058,-0.0061,0.8202,-0.1879,-0.9438,110.2119,-0.0070,-0.0067,-0.2814
32458810,-0.2538,-0.2461,-0.3445,0.5717,0.0058,-0.0061,0.8204,-0.1950,-0.9434,110.2627,0.0053,-0.0103,-0.2801
32458977,-0.3710,-0.4045,-0.2790,0.5717,0.0057,-0.0062,0.8204,-0.2032,-0.9434,110.2610,0.0092,-0.0133,-0.2867
32459144,-0.3575,-0.2948,-0.2484,0.5715,0.0057,-0.0062,0.8205,-0.2113,-0.9404,110.2834,-0.0060,0.0159,-0.2909
32459310,-0.2280,-0.3424,-0.2949,0.5718,0.0057,-0.0063,0.8204,-0.2162,-0.9452,110.2482,-0.0103,-0.0026,-0.2954
32459477,-0.3075,-0.3788,-0.2861,0.5717,0.0057,-0.0063,0.8204,-0.2203,-0.9511,110.2614,-0.0194,-0.0061,-0.3257
32459644,-0.3685,-0.4102,-0.3131,0.5716,0.0057,-0.0064,0.8205,-0.2231,-0.9579,110.2766,-0.0020,0.0033,-0.3069
32459810,-0.3538,-0.4043,-0.2119,0.5715,0.0058,-0.0064,0.8205,-0.2266,-0.9650,110.2831,0.0081,-0.0081,-0.3048
32459977,-0.3319,-0.3069,-0.3154,0.5715,0.0058,-0.0065,0.8205,-0.2309,-0.9694,110.2836,0.0021,0.0089,-0.2929
32460144,-0.3552,-0.3021,-0.3457,0.5717,0.0058,-0.0066,0.8204,-0.2363,-0.9746,110.2585,-0.0252,-0.0081,-0.3092
32460310,-0.2952,-0.4187,-0.4030,0.5718,0.0058,-0.0066,0.8203,-0.2391,-0.9817,110.2459,-0.0235,-0.0365,-0.3075
32460477,-0.3344,-0.3606,-0.3362,0.5718,0.0059,-0.0067,0.8204,-0.2414,-0.9865,110.2484,0.0097,0.0092,-0.2846
32460644,-0.3050,-0.3726,-0.2753,0.5718,0.0059,-0.0067,0.8203,-0.2445,-0.9920,110.2469,-0.0026,0.0167,-0.2798
32460810,-0.2672,-0.3554,-0.2945,0.5717,0.0059,-0.0068,0.8204,-0.2474,-0.9980,110.2543,-0.0192,0.0014,-0.2861
32460977,-0.3650,-0.4190,-0.2815,0.5716,0.0059,-0.0068,0.8205,-0.2517,-1.0053,110.2713,-0.0220,-0.0220,-0.3035
32461144,-0.3378,-0.3996,-0.2543,0.5716,0.0060,-0.0069,0.8205,-0.2551,-1.0119,110.2804,-0.0238,-0.0025,-0.2885
32461310,-0.2709,-0.3991,-0.3278,0.5715,0.0060,-0.0069,0.8206,-0.2571,-1.0186,110.2910,0.0127,-0.0017,-0.3112
32461477,-0.3172,-0.3635,-0.3275,0.5715,0.0060,-0.0070,0.8205,-0.2605,-1.0246,110.2846,0.0030,-0.0229,-0.3029
32461644,-0.2829,-0.3234,-0.2971,0.5716,0.0061,-0.0070,0.8205,-0.2636,-1.0294,110.2787,-0.0164,-0.0376,-0.2862
32461810,-0.2771,-0.3745,-0.2964,0.5714,0.0061,-0.0071,0.8206,-0.2663,-1.0347,110.3052,-0.0329,-0.0263,-0.3039
32461977,-0.2964,-0.3214,-0.2977,0.5715,0.0061,-0.0071,0.8206,-0.2688,-1.0389,110.2905,-0.0018,-0.0122,-0.2812
32462144,-0.2953,-0.3044,-0.3082,0.5715,0.0061,-0.0071,0.8205,-0.2716,-1.0429,110.2881,0.0121,-0.0123,-0.3070
32462310,-0.2915,-0.3623,-0.3242,0.5715,0.0061,-0.0072,0.8205,-0.2747,-1.0478,110.2880,-0.0021,-0.0212,-0.2924
32462477,-0.2623,-0.2141,-0.2990,0.5716,0.0061,-0.0072,0.8205,-0.2774,-1.0501,110.2784,-0.0401,-0.0458,-0.3001
32462644,-0.3525,-0.3983,-0.2899,0.5716,0.0062,-0.0073,0.8205,-0.2812,-1.0552,110.2812,-0.0188,-0.0269,-0.2750
32462810,-0.3317,-0.3106,-0.3253,0.5716,0.0062,-0.0073,0.8205,-0.2845,-1.0589,110.2782,0.0161,-0.0163,-0.2901
32462977,-0.2930,-0.3941,-0.2758,0.5716,0.0062,-0.0074,0.8205,-0.2876,-1.0639,110.2745,0.0045,-0.0200,-0.3010
32463144,-0.2734,-0.3147,-0.3122,0.5715,0.0062,-0.0074,0.8205,-0.2904,-1.0676,110.2836,0.0071,-0.0176,-0.2822
32463310,-0.2770,-0.3490,-0.3107,0.5716,0.0062,-0.0074,0.8205,-0.2936,-1.0719,110.2765,-0.0221,-0.0300,-0.2940
32463477,-0.2994,-0.2361,-0.2613,0.5716,0.0062,-0.0075,0.8205,-0.2969,-1.0742,110.2744,-0.0101,-0.0374,-0.3089
32463644,-0.3812,-0.3936,-0.3413,0.5716,0.0062,-0.0075,0.8205,-0.3016,-1.0791,110.2783,0.0010,-0.0293,-0.2748
32463810,-0.2820,-0.3899,-0.2850,0.5716,0.0062,-0.0076,0.8205,-0.3048,-1.0839,110.2798,0.0001,-0.0174,-0.2613
32463977,-0.2189,-0.3520,-0.2763,0.5715,0.0063,-0.0076,0.8205,-0.3070,-1.0881,110.2832,-0.0236,-0.0303,-0.2857
32464144,-0.2397,-0.3352,-0.2600,0.5716,0.0063,-0.0077,0.8205,-0.3094,-1.0920,110.2821,-0.0350,-0.0505,-0.2744
32464310,-0.2926,-0.4545,-0.2412,0.5715,0.0063,-0.0077,0.8205,-0.3125,-1.0979,110.2854,-0.0016,-0.0426,-0.2811
32464477,-0.3530,-0.4149,-0.2990,0.5716,0.0063,-0.0078,0.8205,-0.3167,-1.1030,110.2820,-0.0099,-0.0139,-0.2928
32464644,-0.3282,-0.4003,-0.2689,0.5716,0.0063,-0.0078,0.8205,-0.3205,-1.1079,110.2757,-0.0038,-0.0121,-0.2906
