DeviceTag: Xsens DOT13,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 1,StartTime: 2026-05-07 16:06:53.931,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
11209027,-0.2948,-0.3682,-0.3665,0.6584,0.0059,-0.0079,0.7526,-0.2376,-1.1044,97.6374,-0.0147,-0.0077,-0.2882
11209194,-0.3503,-0.4054,-0.3378,0.6584,0.0059,-0.0080,0.7526,-0.2419,-1.1091,97.6355,-0.0223,-0.0076,-0.2627
11209360,-0.3901,-0.4546,-0.3722,0.6584,0.0059,-0.0080,0.7526,-0.2469,-1.1148,97.6451,-0.0153,-0.0301,-0.2788
11209527,-0.3523,-0.3803,-0.3437,0.6584,0.0059,-0.0081,0.7526,-0.2513,-1.1192,97.6416,0.0066,-0.0405,-0.3060
11209694,-0.2488,-0.4176,-0.3370,0.6584,0.0059,-0.0081,0.7526,-0.2540,-1.1242,97.6382,-0.0108,-0.0227,-0.2793
11209860,-0.3342,-0.3647,-0.2372,0.6584,0.0059,-0.0082,0.7526,-0.2583,-1.1284,97.6376,-0.0353,-0.0199,-0.2799
11210027,-0.2829,-0.4122,-0.3333,0.6584,0.0059,-0.0082,0.7526,-0.2615,-1.1334,97.6378,-0.0149,-0.0404,-0.2991
11210194,-0.3346,-0.3775,-0.3945,0.6585,0.0059,-0.0083,0.7525,-0.2656,-1.1378,97.6280,-0.0136,-0.0516,-0.2812
11210360,-0.2845,-0.4632,-0.3754,0.6585,0.0060,-0.0083,0.7525,-0.2689,-1.1435,97.6301,-0.0180,-0.0376,-0.2837
11210527,-0.3393,-0.4304,-0.3706,0.6586,0.0060,-0.0084,0.7525,-0.2731,-1.1487,97.6182,-0.0240,-0.0324,-0.2734
11210694,-0.3243,-0.3856,-0.3204,0.6585,0.0060,-0.0084,0.7525,-0.2770,-1.1532,97.6267,0.0010,-0.0496,-0.2893
11210860,-0.3035,-0.4098,-0.3045,0.6585,0.0060,-0.0085,0.7525,-0.2807,-1.1580,97.6240,-0.0018,-0.0554,-0.3091
11211027,-0.2799,-0.4137,-0.3402,0.6585,0.0060,-0.0085,0.7525,-0.2840,-1.1628,97.6226,-0.0265,-0.0341,-0.2848
11211194,-0.3501,-0.4143,-0.3821,0.6585,0.0060,-0.0086,0.7525,-0.2884,-1.1676,97.6251,-0.0305,-0.0335,-0.2896
11211361,-0.3301,-0.4006,-0.3479,0.6585,0.0060,-0.0087,0.7525,-0.2925,-1.1722,97.6320,-0.0380,-0.0528,-0.2939
11211527,-0.3208,-0.3919,-0.3350,0.6586,0.0060,-0.0087,0.7524,-0.2963,-1.1767,97.6131,-0.0147,-0.0486,-0.3086
11211694,-0.3015,-0.4638,-0.3576,0.6586,0.0060,-0.0088,0.7524,-0.2998,-1.1823,97.6039,-0.0252,-0.0399,-0.2972
11211861,-0.3279,-0.4346,-0.3145,0.6587,0.0061,-0.0088,0.7523,-0.3038,-1.1874,97.5952,-0.0180,-0.0352,-0.2923
11212027,-0.2636,-0.3009,-0.3270,0.6588,0.0061,-0.0089,0.7523,-0.3066,-1.1903,97.5844,-0.0175,-0.0572,-0.2883
11212194,-0.3124,-0.4039,-0.2939,0.6588,0.0061,-0.0089,0.7522,-0.3103,-1.1949,97.5800,-0.0117,-0.0557,-0.2827
11212361,-0.3401,-0.3556,-0.3544,0.6588,0.0061,-0.0090,0.7523,-0.3145,-1.1986,97.5853,-0.0099,-0.0506,-0.3001
11212527,-0.2672,-0.4080,-0.3030,0.6586,0.0061,-0.0090,0.7524,-0.3174,-1.2032,97.6082,-0.0234,-0.0300,-0.2812
11212694,-0.2745,-0.4019,-0.3509,0.6587,0.0061,-0.0090,0.7524,-0.3205,-1.2077,97.6000,-0.0296,-0.0531,-0.2899
11212861,-0.3455,-0.4855,-0.3690,0.6586,0.0061,-0.0091,0.7524,-0.3247,-1.2135,97.6062,-0.0227,-0.0616,-0.3062
11213027,-0.3258,-0.3813,-0.3019,0.6586,0.0061,-0.0092,0.7524,-0.3286,-1.2176,97.6170,-0.0225,-0.0466,-0.3038
11213194,-0.2476,-0.3641,-0.3117,0.6585,0.0061,-0.0092,0.7525,-0.3312,-1.2214,97.6219,-0.0234,-0.0379,-0.2945
11213361,-0.2732,-0.4237,-0.3057,0.6585,0.0061,-0.0092,0.7525,-0.3342,-1.2262,97.6306,-0.0480,-0.0453,-0.2817
11213527,-0.3086,-0.4006,-0.2789,0.6584,0.0061,-0.0093,0.7526,-0.3377,-1.2306,97.6430,-0.0398,-0.0503,-0.2832
11213694,-0.3001,-0.3848,-0.3798,0.6583,0.0062,-0.0093,0.7527,-0.3410,-1.2348,97.6610,-0.0294,-0.0474,-0.2882
11213861,-0.2672,-0.3896,-0.3093,0.6582,0.0062,-0.0094,0.7527,-0.3438,-1.2390,97.6665,-0.0217,-0.0560,-0.2808
11214027,-0.2573,-0.3361,-0.3182,0.6582,0.0062,-0.0094,0.7527,-0.3464,-1.2423,97.6661,-0.0145,-0.0506,-0.2739
11214194,-0.3577,-0.4284,-0.3005,0.6583,0.0062,-0.0095,0.7527,-0.3506,-1.2471,97.6555,-0.0332,-0.0486,-0.2970
11214361,-0.3420,-0.4359,-0.3522,0.6582,0.0062,-0.0095,0.7527,-0.3546,-1.2520,97.6660,-0.0347,-0.0481,-0.2637
11214527,-0.3450,-0.4202,-0.3771,0.6581,0.0062,-0.0096,0.7528,-0.3586,-1.2566,97.6833,-0.0271,-0.0732,-0.2718
11214694,-0.3528,-0.3972,-0.3189,0.6581,0.0062,-0.0096,0.7529,-0.3627,-1.2609,97.6913,-0.0235,-0.0592,-0.2889
11214861,-0.3585,-0.3665,-0.3315,0.6581,0.0062,-0.0097,0.7528,-0.3669,-1.2645,97.6842,-0.0303,-0.0458,-0.2693
11215027,-0.2918,-0.4045,-0.4042,0.6581,0.0062,-0.0097,0.7528,-0.3699,-1.2688,97.6804,-0.0326,-0.0614,-0.2715
11215194,-0.2647,-0.2959,-0.3673,0.6582,0.0062,-0.0097,0.7528,-0.3725,-1.2713,97.6719,-0.0325,-0.0492,-0.2826
